Код заказа,Станция старта,Станция финиша,Расчетная дата старта,Плановая дата старта,Время в пути,Мин допустимый объем,Запрошенный объем,Тарифы,Запрошенный тип вагона,Приоритет,Примененный тариф
302191_830665521001_0722,806708,521001,16,16,19,2,2,37864,2253,4,37864
302224_812982790408_0722,596101,790408,16,16,19,2,2,19382,2004,4,19382
302584_813716035508_0722,637104,35508,16,16,19,2,2,32009,2003,4,32009
302666_813895524000_0722,70709,524000,16,16,19,2,2,39303,2031,4,39303
303513_825987180504_0722,100001,180504,16,16,19,2,2,32466,2011,4,32466
303956_816503780603_0722,36801,780603,16,16,19,3,3,47749,2005,4,47749
303975_816573696206_0722,801405,696206,16,16,19,2,2,44301,2339,4,44301
304359_817324946801_0722,893500,946801,16,16,19,2,2,55080,2026,4,55080
304708_818042850204_0722,635306,850204,16,16,19,2,2,56847,2291,4,56847
305194_819122673308_0722,763701,673308,16,16,19,4,4,43248,2116,4,43248
305462_820268933801_0722,843408,933801,16,16,19,11,11,38325,2033,4,38325
306493_824123673806_0722,654701,673806,16,16,19,2,2,39377,2088,4,39377
306544_824207946801_0722,892103,946801,16,16,19,2,2,89550,2257,4,89550
307054_826598696206_0722,800605,696206,16,16,19,2,2,35287,2339,4,35287
295565_821944035601_0722,625200,35601,16,16,19,2,2,47481,2039,3,47481
303861_816259284008_0722,611602,284008,16,16,19,2,2,47068,2284,3,47068
304736_827011801208_0722,195800,801208,16,16,19,2,2,55516,2005,1,55516
302201_812940950008_0722,932103,950008,16,16,20,2,2,49858,2039,4,49858
302277_813102775408_0722,924605,775408,16,16,20,2,2,27492,2003,4,27492
302285_813114803909_0722,38205,803909,16,16,20,2,2,40016,2002,4,40016
303883_829229696206_0722,805707,696206,16,16,20,6,6,34529,2340,4,34529
303919_816399946801_0722,926403,946801,16,16,20,4,4,46870,2003,4,46870
308302_830603531304_0722,520901,531304,16,16,20,5,5,21739,2010,4,21739
301852_829033770103_0722,525801,770103,16,16,20,7,7,29342,2024,1,29342
308050_829635803307_0722,930004,803307,16,16,20,8,8,58626,2032,1,58626
302669_813899546808_0722,633103,546808,16,16,21,2,2,37637,2369,4,37637
303866_825849033502_0722,817102,33502,16,16,21,2,2,38206,2253,4,38206
305762_821554946208_0722,840109,946208,16,16,21,2,2,36720,2033,4,36720
306153_822885840005_0722,871200,851809,16,16,21,4,4,17261,2004,4,17261
306445_824001932902_0722,654701,932902,16,16,21,2,2,42485,2004,4,42485
304686_818003094309_0722,290009,94309,16,16,21,4,4,62502,2087,1,62502
302220_812974888201_0722,601102,888201,16,16,22,2,2,39834,2004,4,39834
302666_813896853109_0722,70709,853109,16,16,22,2,2,41385,2031,4,41385
303097_814757853109_0722,33409,853109,16,16,22,3,3,51681,2256,4,51681
303531_815615511404_0722,434602,516200,16,16,22,2,2,30296,2010,4,30296
303911_816385850204_0722,20502,850204,16,16,22,2,2,55832,2004,4,55832
304395_817400853109_0722,32406,853109,16,16,22,2,2,43279,2001,4,43279
303117_814795888201_0722,601600,888201,16,16,22,2,2,39834,2004,2,39834
302678_813924440503_0722,769604,440503,16,16,23,3,3,29521,2118,4,29521
303437_815421051905_0722,581801,31302,16,16,23,2,2,38421,2010,4,38421
303535_815619522201_0722,841008,522201,16,16,23,2,2,18180,2038,4,18180
304739_818109930004_0722,644606,930004,16,16,23,2,2,69990,2003,4,69990
305099_818908713100_0722,806708,713100,16,16,23,2,2,52071,2337,4,52071
307876_828975805302_0722,844307,804808,16,16,23,2,2,8911,2031,4,8911
302253_826993890004_0722,193805,890004,16,16,23,3,3,64324,2007,1,64324
304722_827005890004_0722,193805,890004,16,16,23,3,3,64324,2005,1,64324
301831_811989613608_0722,814903,614206,16,16,24,4,4,29347,2001,4,29347
302643_813843890907_0722,844307,888004,16,16,24,3,3,14474,2031,4,14474
303522_815586840005_0722,930305,851809,16,16,24,2,2,19560,2039,4,19560
303522_815595892103_0722,930305,888004,16,16,24,2,2,13446,2039,4,13446
303549_815649800205_0722,438603,804808,16,16,24,2,2,78422,2010,4,78422
303975_816571157705_0722,801405,157705,16,16,24,2,2,56975,2339,4,56975
304343_817298773101_0722,844701,793118,16,16,24,2,2,12910,2031,4,12910
304679_817990527008_0722,882506,527008,16,16,24,3,3,32948,2025,4,32948
304791_818254890108_0722,36801,890108,16,16,24,2,2,42617,2005,4,42617
306002_822411520901_0722,890108,520901,16,16,24,19,19,23279,2255,4,23279
306020_822457520901_0722,864103,520901,16,16,24,3,3,21913,2003,4,21913
303983_816598104801_0722,280904,104801,16,16,24,2,2,37892,2003,1,37892
303983_816606498708_0722,280904,498708,16,16,24,2,2,42594,2087,1,42594
304760_818149698606_0722,250904,698606,16,16,25,3,3,42742,2085,4,42742
304766_818168926403_0722,581407,926403,16,16,25,2,2,72186,2010,4,72186
306706_824622834108_0722,932103,851809,16,16,25,2,2,18360,2040,4,18360
307876_828972933801_0722,844307,931401,16,16,25,2,2,26454,2031,4,26454
303120_827006927105_0722,193805,927105,16,16,25,5,5,63274,2005,1,63274
302640_813833520901_0722,814903,525407,16,16,26,6,6,15063,2001,4,15063
303081_814715648503_0722,845600,651506,16,16,26,2,2,6821,2031,4,6821
303434_815414673806_0722,264004,673806,16,16,26,2,2,49326,2339,4,49326
303899_816358946208_0722,648109,946208,16,16,26,2,2,56133,2003,4,56133
303927_816435888004_0722,653003,888004,16,16,26,2,2,65438,2003,4,65438
305114_818936225902_0722,845403,226500,16,16,26,4,4,13697,2001,4,13697
305621_821013933801_0722,837002,931401,16,16,26,2,2,27784,2031,4,27784
305944_822180933801_0722,836103,931401,16,16,26,2,2,27130,2032,4,27130
306493_824122703908_0722,654701,703908,16,16,26,3,3,45527,2088,4,45527
302631_813815648503_0722,846001,651506,16,16,27,2,2,7087,2024,4,7087
303532_815616722400_0722,760900,722400,16,16,27,2,2,45059,2096,4,45059
304395_817398680509_0722,32406,680509,16,16,27,2,2,62630,2087,4,62630
306151_822882934908_0722,850505,931401,16,16,27,2,2,21656,2032,4,21656
306158_822893253207_0722,853005,244208,16,16,27,4,4,10394,2003,4,10394
302600_813749674000_0722,302304,674000,16,16,27,2,2,37468,2340,1,37468
303983_816604547001_0722,280904,547001,16,16,27,2,2,47620,2087,1,47620
302258_813045318401_0722,946801,318401,16,16,28,2,2,29160,2011,4,29160
303885_827307970406_0722,803203,970406,16,16,28,3,3,60942,2255,4,60942
303927_816443290206_0722,653003,318609,16,16,28,2,2,46854,2003,4,46854
307876_828974275704_0722,844307,244208,16,16,28,2,2,4470,2031,4,4470
302233_821930722203_0722,233400,722203,16,16,28,3,3,59341,2089,3,59341
307947_829307700100_0722,612003,700100,16,16,28,2,2,57599,2123,1,57599
306769_826767971907_0722,655206,971907,16,16,29,2,2,74022,2004,4,74022
305474_820344439004_0722,840109,603803,16,16,30,6,6,10263,2032,4,10263
303983_816603704309_0722,280904,704309,16,16,31,2,2,63814,2087,1,63814
306667_824535960103_0722,32105,960103,16,16,32,3,3,56576,2289,4,56576
303888_816332793209_0722,954704,780707,16,16,33,2,2,17061,2033,4,17061
305150_819005793209_0722,954704,793118,16,16,33,2,2,14968,2039,4,14968
303469_826932980605_0722,220504,980605,16,16,33,2,2,77475,2007,1,77475
303952_826928980605_0722,220504,980605,16,16,33,2,2,77475,2005,1,77475
303983_816608722203_0722,280904,722203,16,16,33,2,2,68466,2087,1,68466
305483_826935988306_0722,194901,988306,16,16,33,2,2,74268,2005,1,74268
305484_826939988306_0722,194901,988306,16,16,33,2,2,74268,2007,1,74268
302640_820915035004_0722,814903,35004,16,16,34,5,5,17195,2001,4,17195
303544_824469722203_0722,926403,722203,16,16,35,2,2,73460,2102,4,73460
303522_815588984700_0722,930305,984700,16,16,36,2,2,-5440,2039,4,-5440
302640_813837158209_0722,814903,158209,16,16,37,3,3,33740,2085,4,33740
303919_816401450605_0722,926403,450605,16,16,41,2,2,41146,2087,4,41146
305130_818962970406_0722,803307,931401,16,16,43,2,2,46916,2003,4,46916
303953_816495253508_0722,644708,253508,17,17,13,20,20,32238,2284,4,32238
302201_812941937003_0723,932103,937003,17,17,13,2,2,53514,2039,4,53514
302287_813117625107_0723,620508,625107,17,17,13,2,2,9616,2003,4,9616
303139_830582944702_0723,946801,944702,17,17,13,2,2,8550,2025,4,8550
303528_815602952709_0723,953701,952709,17,17,13,2,2,37603,2032,4,37603
303933_830578944702_0723,946801,944702,17,17,13,2,2,8550,2025,4,8550
303953_816495253508_0723,644708,253508,17,17,13,2,2,32238,2284,4,32238
303977_816575828501_0723,800008,828501,17,17,13,2,2,9749,2003,4,9749
305170_830580944702_0723,946801,944702,17,17,13,2,2,8550,2025,4,8550
303546_815646018409_0723,16403,18409,17,17,13,2,2,30015,2002,2,30015
302577_813709942105_0723,946801,942105,17,17,14,2,2,25768,2032,4,25768
303071_814704942105_0723,946801,942105,17,17,14,2,2,25768,2011,4,25768
303080_814714767308_0723,780001,767308,17,17,14,2,2,9749,2004,4,9749
303865_816265270306_0723,260003,270306,17,17,14,2,2,9749,2003,4,9749
303953_816497654701_0723,644708,654701,17,17,14,2,2,25566,2284,4,25566
303964_830572942105_0723,946801,942105,17,17,14,2,2,25768,2011,4,25768
307464_827140853109_0723,883903,853109,17,17,14,7,7,14040,2038,1,14040
302191_830660648908_0723,806708,648908,17,17,15,2,2,31336,2253,4,31336
302191_830663770300_0723,806708,770300,17,17,15,2,2,30558,2253,4,30558
302191_830667828501_0723,806708,828501,17,17,15,4,4,28841,2253,4,28841
302584_813718310607_0723,637104,310607,17,17,15,2,2,19416,2005,4,19416
303092_814751954704_0723,950807,954704,17,17,15,2,2,22753,2032,4,22753
303128_814819888004_0723,891806,888004,17,17,15,2,2,20892,2003,4,20892
303543_815641657606_0723,596402,657606,17,17,15,2,2,36286,2038,4,36286
303975_816566648908_0723,801405,648908,17,17,15,2,2,36921,2255,4,36921
304715_818066248105_0723,652602,248105,17,17,15,2,2,45829,2004,4,45829
304760_818153220504_0723,250904,220504,17,17,15,2,2,22839,2001,4,22839
304771_818190194300_0723,596309,194300,17,17,15,2,2,27390,2010,4,27390
304806_818285511404_0723,438302,511404,17,17,15,2,2,23374,2010,4,23374
306035_822509892103_0723,850401,892103,17,17,15,2,2,25947,2032,4,25947
304677_817988284101_0723,310109,284101,17,17,15,3,3,9616,2002,3,9616
303117_814793644803_0723,601600,644803,17,17,15,2,2,21781,2004,2,21781
303117_814794252401_0723,601600,252401,17,17,15,2,2,24195,2004,2,24195
303115_814785250800_0723,618207,250800,17,17,15,3,3,41046,2018,1,41046
302191_830658243607_0723,806708,243607,17,17,16,2,2,29922,2001,4,29922
302291_813121450003_0723,611405,450003,17,17,16,2,2,36664,2115,4,36664
303554_815656770300_0723,246203,770300,17,17,16,2,2,35882,2002,4,35882
303965_830557644004_0723,513109,644004,17,17,16,2,2,39895,2010,4,39895
304756_818145946801_0723,933801,946801,17,17,16,7,7,52021,2033,4,52021
304774_827472657907_0723,826402,657907,17,17,16,2,2,39749,2003,4,39749
305131_818968657606_0723,582404,657606,17,17,16,2,2,22563,2002,4,22563
305163_819040932809_0723,946801,932809,17,17,16,2,2,26224,2011,4,26224
306234_823291910000_0723,970001,910000,17,17,16,2,2,33162,2032,4,33162
308256_830405657705_0723,526005,657705,17,17,16,2,2,26639,2004,4,26639
303935_816466659006_0723,610506,659006,17,17,16,3,3,32886,2039,3,32886
303117_814791199407_0723,601600,199407,17,17,16,2,2,17512,2004,2,17512
303115_814786650005_0723,618207,650005,17,17,16,3,3,34808,2018,1,34808
303983_816600245709_0723,280904,245709,17,17,16,2,2,16327,2003,1,16327
306800_830643617806_0723,240809,617806,17,17,16,11,11,27992,2003,1,27992
302191_830662613608_0723,806708,613608,17,17,17,2,2,28993,2001,4,28993
302191_830666592401_0723,806708,592401,17,17,17,2,2,30982,2253,4,30982
302273_813093527008_0723,657606,527008,17,17,17,2,2,40181,2256,4,40181
303066_829869283908_0723,594604,283908,17,17,17,5,5,23374,2010,4,23374
303862_816262048601_0723,436701,48601,17,17,17,2,2,27598,2004,4,27598
303866_825851244208_0723,817102,244208,17,17,17,2,2,34520,2253,4,34520
303965_830558252401_0723,513109,252401,17,17,17,2,2,36179,2010,4,36179
304395_817402581106_0723,32406,581106,17,17,17,2,2,54611,2001,4,54611
306618_824420510401_0723,235707,510401,17,17,17,2,2,41576,2037,4,41576
307521_830059927105_0723,870000,927105,17,17,17,3,3,33332,2032,4,33332
303456_815462648400_0723,290009,648400,17,17,17,4,4,54766,2003,1,54766
302191_830671883809_0723,806708,883809,17,17,18,2,2,57727,2001,4,57727
302230_812999883809_0723,800402,883809,17,17,18,2,2,32484,2256,4,32484
302243_813020440001_0723,251502,440001,17,17,18,2,2,34252,2337,4,34252
302252_813039535907_0723,196502,535907,17,17,18,2,2,43661,2254,4,43661
302270_813087800205_0723,597706,800205,17,17,18,3,3,22634,2010,4,22634
302574_813699935506_0723,926403,935506,17,17,18,2,2,63319,2004,4,63319
302641_813840890108_0723,829203,890108,17,17,18,2,2,69364,2003,4,69364
303471_815503831400_0723,244208,831400,17,17,18,3,3,57988,2289,4,57988
303543_815634817507_0723,596402,817507,17,17,18,2,2,55282,2038,4,55282
303863_816263402000_0723,592204,402000,17,17,18,3,3,6789,2087,4,6789
303866_825853284101_0723,817102,284101,17,17,18,2,2,32575,2253,4,32575
303866_825854237609_0723,817102,237609,17,17,18,2,2,32725,2253,4,32725
303899_816359032904_0723,648109,32904,17,17,18,2,2,52852,2003,4,52852
303919_816400936903_0723,926403,936903,17,17,18,4,4,52881,2087,4,52881
304292_829031770005_0723,581407,770005,17,17,18,2,2,32063,2038,4,32063
304730_828548883809_0723,801208,883809,17,17,18,2,2,47606,2290,4,47606
305180_819086192906_0723,21806,192906,17,17,18,2,2,36619,2007,4,36619
307630_827613792102_0723,190205,792102,17,17,18,3,3,18230,2002,4,18230
307926_829173890907_0723,800309,890907,17,17,18,2,2,54945,2037,4,54945
302218_812966780800_0723,198404,780800,17,17,18,4,4,48898,2006,3,48898
303103_814763780800_0723,196803,780800,17,17,18,2,2,32593,2254,3,32593
305364_819913780302_0723,225300,780302,17,17,18,2,2,19884,2005,1,19884
305993_822374280904_0723,510702,280904,17,17,18,4,4,17859,2003,1,17859
301659_811179194507_0723,102901,194507,17,17,19,2,2,47449,2004,4,47449
302191_830665521001_0723,806708,521001,17,17,19,2,2,37864,2253,4,37864
302584_813716035508_0723,637104,35508,17,17,19,2,2,32009,2003,4,32009
302700_813970696102_0723,780603,696102,17,17,19,3,3,42933,2110,4,42933
302998_814587696102_0723,882506,696102,17,17,19,2,2,56348,2087,4,56348
303513_825987180504_0723,100001,180504,17,17,19,2,2,32466,2011,4,32466
303956_816503780603_0723,36801,780603,17,17,19,3,3,47749,2005,4,47749
303975_816573696206_0723,801405,696206,17,17,19,2,2,44301,2339,4,44301
304708_818042850204_0723,635306,850204,17,17,19,2,2,56847,2291,4,56847
305131_818967790408_0723,582404,790408,17,17,19,2,2,18726,2002,4,18726
305194_819122673308_0723,763701,673308,17,17,19,4,4,43248,2116,4,43248
305213_819143520901_0723,271101,520901,17,17,19,3,3,42211,2279,4,42211
305462_820268933801_0723,843408,933801,17,17,19,10,10,38325,2033,4,38325
306493_824123673806_0723,654701,673806,17,17,19,2,2,39377,2088,4,39377
306544_824207946801_0723,892103,946801,17,17,19,2,2,89550,2257,4,89550
306687_824568780603_0723,37405,780603,17,17,19,3,3,35559,2004,4,35559
306773_824936831203_0723,194206,831203,17,17,19,2,2,70884,2012,4,70884
303520_825590663306_0723,612107,663306,17,17,19,3,3,40146,2118,3,40146
304736_827011801208_0723,195800,801208,17,17,19,2,2,55516,2005,1,55516
302201_812940950008_0723,932103,950008,17,17,20,2,2,49858,2039,4,49858
302269_828696927105_0723,784500,927105,17,17,20,2,2,45328,2011,4,45328
302277_813102775408_0723,924605,775408,17,17,20,2,2,27492,2003,4,27492
302285_813114803909_0723,38205,803909,17,17,20,2,2,40016,2002,4,40016
303089_814744780001_0723,767007,793118,17,17,20,2,2,21171,2004,4,21171
303883_829229696206_0723,805707,696206,17,17,20,6,6,34529,2340,4,34529
303919_816399946801_0723,926403,946801,17,17,20,4,4,46870,2003,4,46870
305110_818932946801_0723,888409,946801,17,17,20,5,5,57209,2019,4,57209
305131_818966850204_0723,582404,850204,17,17,20,2,2,27351,2002,4,27351
306538_825753844701_0723,612107,844701,17,17,20,2,2,62868,2019,4,62868
308302_830603531304_0723,520901,531304,17,17,20,4,4,21739,2010,4,21739
295565_821945852801_0723,625200,852801,17,17,20,2,2,55660,2039,3,55660
303136_814833018108_0723,612107,18108,17,17,20,2,2,63166,2034,3,63166
301852_829033770103_0723,525801,770103,17,17,20,7,7,29342,2024,1,29342
302648_813857779201_0723,611509,779201,17,17,20,6,6,47481,2032,1,47481
302677_825806287805_0723,612003,287805,17,17,20,2,2,58666,2003,1,58666
305103_818919820001_0723,284008,820001,17,17,20,2,2,36302,2087,1,36302
303004_814600927105_0723,781907,927105,17,17,21,2,2,55456,2012,4,55456
303531_815606625107_0723,434602,627704,17,17,21,2,2,32455,2010,4,32455
303866_825849033502_0723,817102,33502,17,17,21,2,2,38206,2253,4,38206
304744_818132700007_0723,880106,700007,17,17,21,2,2,44378,2094,4,44378
305762_821554946208_0723,840109,946208,17,17,21,2,2,36720,2033,4,36720
306153_822885840005_0723,871200,851809,17,17,21,4,4,17261,2004,4,17261
306445_824001932902_0723,654701,932902,17,17,21,2,2,42485,2004,4,42485
302677_825805288308_0723,612003,288308,17,17,21,2,2,59925,2003,1,59925
304686_818003094309_0723,290009,94309,17,17,21,4,4,62502,2087,1,62502
306285_823481850204_0723,190008,850204,17,17,21,2,2,54228,2005,1,54228
306286_823492850204_0723,190008,850204,17,17,21,2,2,54228,2007,1,54228
302247_813028850204_0723,30006,850204,17,17,22,5,5,47111,2005,4,47111
302609_826000870000_0723,193504,870000,17,17,22,3,3,50970,2005,4,50970
302688_813943511404_0723,438406,516200,17,17,22,2,2,29229,2010,4,29229
302694_813956850204_0723,31808,850204,17,17,22,3,3,53689,2005,4,53689
303911_816385850204_0723,20502,850204,17,17,22,2,2,55832,2004,4,55832
304312_825272485604_0723,654307,485604,17,17,22,2,2,25679,2088,4,25679
304395_817400853109_0723,32406,853109,17,17,22,2,2,43279,2001,4,43279
304763_818157663503_0723,633103,663503,17,17,22,2,2,32571,2341,4,32571
305154_819014193006_0723,657705,233345,17,17,22,2,2,29512,2291,4,29512
303552_815653882506_0723,610402,882506,17,17,22,2,2,79113,2009,3,79113
305139_818976096605_0723,282002,96605,17,17,22,2,2,41941,2363,3,41941
303117_814795888201_0723,601600,888201,17,17,22,2,2,39834,2004,2,39834
303037_824961853109_0723,33004,853109,17,17,22,2,2,49346,2257,1,49346
302295_813126890907_0723,60302,890907,17,17,23,2,2,47482,2257,4,47482
303493_815546890108_0723,30107,890108,17,17,23,3,3,42873,2030,4,42873
303571_815680805302_0723,843200,804808,17,17,23,3,3,9938,2033,4,9938
303927_816436233608_0723,653003,233345,17,17,23,2,2,46586,2003,4,46586
304358_817323767308_0723,793209,793118,17,17,23,2,2,16135,2033,4,16135
304739_818109930004_0723,644606,930004,17,17,23,2,2,69990,2003,4,69990
304793_818266767308_0723,793800,793118,17,17,23,9,9,15650,2004,4,15650
305099_818908713100_0723,806708,713100,17,17,23,2,2,52071,2337,4,52071
305141_818988917207_0723,851601,917207,17,17,23,3,3,29904,2026,4,29904
305174_819069942105_0723,946801,931401,17,17,23,3,3,15639,2011,4,15639
307876_828975805302_0723,844307,804808,17,17,23,2,2,8911,2031,4,8911
302253_826993890004_0723,193805,890004,17,17,23,3,3,64324,2007,1,64324
304722_827005890004_0723,193805,890004,17,17,23,3,3,64324,2005,1,64324
307972_829387923104_0723,608101,923104,17,17,23,11,11,23760,2003,1,23760
301831_811989613608_0723,814903,614206,17,17,24,3,3,29347,2001,4,29347
302286_813116935703_0723,271309,935703,17,17,24,2,2,54166,2003,4,54166
302643_813843890907_0723,844307,888004,17,17,24,3,3,14474,2031,4,14474
303048_814656870405_0723,784500,851809,17,17,24,2,2,38616,2018,4,38616
303522_815586840005_0723,930305,851809,17,17,24,2,2,19560,2039,4,19560
303522_815595892103_0723,930305,888004,17,17,24,2,2,13446,2039,4,13446
303975_816571157705_0723,801405,157705,17,17,24,2,2,56975,2339,4,56975
303975_816572467004_0723,801405,467004,17,17,24,2,2,33864,2339,4,33864
304791_818254890108_0723,36801,890108,17,17,24,2,2,42617,2005,4,42617
304798_826989675303_0723,270306,675303,17,17,24,2,2,41911,2085,4,41911
306001_822406035809_0723,887603,35809,17,17,24,5,5,21001,2001,4,21001
306002_822411520901_0723,890108,520901,17,17,24,19,19,23279,2255,4,23279
306020_822457520901_0723,864103,520901,17,17,24,3,3,21913,2003,4,21913
303983_816598104801_0723,280904,104801,17,17,24,2,2,37892,2003,1,37892
303983_816606498708_0723,280904,498708,17,17,24,2,2,42594,2087,1,42594
304760_818149698606_0723,250904,698606,17,17,25,3,3,42742,2085,4,42742
304766_818168926403_0723,581407,926403,17,17,25,2,2,72186,2010,4,72186
305181_819089932207_0723,302507,932207,17,17,25,2,2,75539,2003,4,75539
305594_820876890907_0723,840109,888004,17,17,25,2,2,12646,2039,4,12646
306546_826761930108_0723,53506,930108,17,17,25,2,2,70289,2005,4,70289
307876_828972933801_0723,844307,931401,17,17,25,2,2,26454,2031,4,26454
303008_814605927105_0723,198902,927105,17,17,25,4,4,61961,2005,3,61961
303120_827006927105_0723,193805,927105,17,17,25,5,5,63274,2005,1,63274
303123_814808927105_0723,193504,927105,17,17,25,2,2,72106,2257,1,72106
307179_826176180805_0723,932601,180805,17,17,25,5,5,42084,2011,1,42084
302640_813833520901_0723,814903,525407,17,17,26,11,11,15063,2001,4,15063
303434_815414673806_0723,264004,673806,17,17,26,2,2,49326,2339,4,49326
304343_817299933801_0723,844701,931401,17,17,26,2,2,27784,2031,4,27784
305114_818936225902_0723,845403,226500,17,17,26,4,4,13697,2001,4,13697
305621_821013933801_0723,837002,931401,17,17,26,2,2,27784,2031,4,27784
305944_822180933801_0723,836103,931401,17,17,26,2,2,27130,2032,4,27130
306493_824122703908_0723,654701,703908,17,17,26,3,3,45527,2088,4,45527
307875_828970933801_0723,844701,931401,17,17,26,2,2,27784,2031,4,27784
308056_829644722400_0723,775605,722400,17,17,26,2,2,17291,2117,4,17291
303116_814788926403_0723,438800,926403,17,17,26,3,3,53830,2004,3,53830
296587_774103926403_0723,874302,931401,17,17,27,2,2,11325,2032,4,11325
302631_813815648503_0723,846001,651506,17,17,27,2,2,7087,2024,4,7087
304378_817358932809_0723,954704,931401,17,17,27,2,2,13362,2033,4,13362
304395_817398680509_0723,32406,680509,17,17,27,2,2,62630,2087,4,62630
304773_818193243607_0723,843408,244208,17,17,27,2,2,13345,2038,4,13345
305784_821678926403_0723,873901,931401,17,17,27,2,2,13883,2018,4,13883
306151_822882934908_0723,850505,931401,17,17,27,2,2,21656,2032,4,21656
306158_822893253207_0723,853005,244208,17,17,27,4,4,10394,2003,4,10394
306361_823808680509_0723,35809,680509,17,17,27,4,4,47799,2089,4,47799
306562_824258935506_0723,36801,935506,17,17,27,2,2,51125,2005,4,51125
303983_816604547001_0723,280904,547001,17,17,27,2,2,47620,2087,1,47620
296091_773101722400_0723,194403,722400,17,17,28,2,2,102018,2086,4,102018
303927_816443290206_0723,653003,318609,17,17,28,2,2,46854,2003,4,46854
303947_816483970406_0723,800402,970406,17,17,28,2,2,86844,2256,4,86844
304379_828989547105_0723,769604,547105,17,17,28,2,2,43737,2124,4,43737
307876_828974275704_0723,844307,244208,17,17,28,2,2,4470,2031,4,4470
302233_821930722203_0723,233400,722203,17,17,28,3,3,59341,2089,3,59341
303113_830398547001_0723,284101,547001,17,17,28,2,2,79532,2091,3,79532
304670_817978700100_0723,612003,700100,17,17,28,2,2,38426,2087,1,38426
304718_826871547001_0723,290009,547001,17,17,28,2,2,68084,2117,1,68084
303082_814716700100_0723,630209,700100,17,17,29,2,2,51907,2341,4,51907
303445_815433926403_0723,830304,931401,17,17,29,3,3,16796,2038,4,16796
303547_815647144508_0723,73406,144508,17,17,29,2,2,40370,2086,4,40370
303557_815663520901_0723,845403,516200,17,17,29,7,7,14857,2001,4,14857
304740_829743018606_0723,262403,34909,17,17,29,2,2,45374,2285,4,45374
306769_826767971907_0723,655206,971907,17,17,29,2,2,74022,2004,4,74022
302687_813933700007_0723,623008,700007,17,17,29,6,6,56830,2093,3,56830
303491_815542954704_0723,602001,954704,17,17,30,4,4,61188,2034,4,61188
305474_820344439004_0723,840109,603803,17,17,30,7,7,10263,2032,4,10263
303903_816372954704_0723,597301,954704,17,17,31,4,4,85519,2010,4,85519
304777_818216747605_0723,891806,747605,17,17,31,3,3,40470,2087,4,40470
303983_816603704309_0723,280904,704309,17,17,31,2,2,63814,2087,1,63814
306667_824535960103_0723,32105,960103,17,17,32,3,3,56576,2289,4,56576
302600_813748700308_0723,302304,700308,17,17,32,2,2,49089,2340,1,49089
306262_823417717008_0723,310607,717008,17,17,32,2,2,89030,2096,1,89030
303888_816332793209_0723,954704,780707,17,17,33,2,2,17061,2033,4,17061
303469_826932980605_0723,220504,980605,17,17,33,2,2,77475,2007,1,77475
303952_826928980605_0723,220504,980605,17,17,33,2,2,77475,2005,1,77475
303983_816608722203_0723,280904,722203,17,17,33,2,2,68466,2087,1,68466
305483_826935988306_0723,194901,988306,17,17,33,2,2,74268,2005,1,74268
305484_826939988306_0723,194901,988306,17,17,33,2,2,74268,2007,1,74268
305495_820460970001_0723,195406,970001,17,17,33,2,2,84809,2007,1,84809
302278_813105722203_0723,926403,722203,17,17,35,2,2,75530,2369,4,75530
303544_824469722203_0723,926403,722203,17,17,35,2,2,73460,2102,4,73460
304350_817309716908_0723,72009,716908,17,17,35,2,2,75168,2087,4,75168
303522_815588984700_0723,930305,984700,17,17,36,2,2,-5440,2039,4,-5440
305747_821484947005_0723,883809,947005,17,17,36,2,2,31137,2002,4,31137
303919_816401450605_0723,926403,450605,17,17,41,2,2,41146,2087,4,41146
303095_814755991101_0723,954704,931401,17,17,43,2,2,710,2033,4,710
305130_818962970406_0723,803307,931401,17,17,43,2,2,46916,2003,4,46916
302201_812941937003_0724,932103,937003,18,18,13,2,2,53514,2039,4,53514
303128_814821893708_0724,891806,893708,18,18,13,2,2,15241,2003,4,15241
303139_830582944702_0724,946801,944702,18,18,13,2,2,8550,2025,4,8550
303528_815602952709_0724,953701,952709,18,18,13,2,2,37603,2032,4,37603
303542_815628625107_0724,625501,625107,18,18,13,2,2,10092,2003,4,10092
303933_830578944702_0724,946801,944702,18,18,13,2,2,8550,2025,4,8550
303953_816495253508_0724,644708,253508,18,18,13,2,2,32238,2284,4,32238
303977_816575828501_0724,800008,828501,18,18,13,2,2,9749,2003,4,9749
305170_830580944702_0724,946801,944702,18,18,13,2,2,8550,2025,4,8550
303546_815646018409_0724,16403,18409,18,18,13,2,2,30015,2002,2,30015
303080_814714767308_0724,780001,767308,18,18,14,2,2,9749,2004,4,9749
303865_816265270306_0724,260003,270306,18,18,14,3,3,9749,2003,4,9749
303953_816497654701_0724,644708,654701,18,18,14,2,2,25566,2284,4,25566
304382_817368770300_0724,801208,770300,18,18,14,2,2,17915,2255,4,17915
303935_816460620508_0724,610506,620508,18,18,14,3,3,26494,2039,3,26494
302191_830660648908_0724,806708,648908,18,18,15,2,2,31336,2253,4,31336
302191_830663770300_0724,806708,770300,18,18,15,2,2,30558,2253,4,30558
302191_830667828501_0724,806708,828501,18,18,15,4,4,28841,2253,4,28841
303092_814751954704_0724,950807,954704,18,18,15,2,2,22753,2032,4,22753
303867_816273917103_0724,960103,917103,18,18,15,3,3,18849,2031,4,18849
